amb	gen	rept	y
E3	C013	3	13.56
E3	C014	3	12.73
E3	C015	3	10.19
E3	C001	4	12.57
E3	C002	4	12.92
E3	C003	4	13.02
E3	C004	4	12.41
E3	C005	4	12.48
E3	C006	4	NA
E3	C007	4	12.57
E3	C008	4	10.66
E3	C009	4	12.29
E3	C010	4	13.69
E3	C011	4	13.15
E3	C012	4	NA
E3	C013	4	13.18
E3	C014	4	10.98
E3	C015	4	10.89
E3	C001	5	12.25
E3	C002	5	14.64
E3	C003	5	13.66
E3	C004	5	10.98
E3	C005	5	14.01
E3	C006	5	12.54
E3	C007	5	12.25
E3	C008	5	11.68
E3	C009	5	9.42
E3	C010	5	14.07
E3	C011	5	10.57
E3	C012	5	13.31
E3	C013	5	12.64
E3	C014	5	11.01
E3	C015	5	5.79
E3	C001	6	9.87
E3	C002	6	13.75
E3	C003	6	12.89
E3	C004	6	11.14
E3	C005	6	12.25
E3	C006	6	12.61
E3	C007	6	12.57
E3	C008	6	NA
E3	C009	6	14.64
E3	C010	6	10.41
E3	C011	6	12.89
E3	C012	6	8.53
E3	C013	6	12.89
E3	C014	6	10.63
E3	C015	6	11.65
E3	C001	7	14.51
E3	C002	7	12.8
E3	C003	7	13.75
E3	C004	7	13.27
E3	C005	7	12.61
E3	C006	7	9.71
E3	C007	7	13.27
E3	C008	7	12.73
E3	C009	7	12.48
E3	C010	7	12.92
E3	C011	7	13.59
E3	C012	7	12.03
E3	C013	7	13.05
E3	C014	7	8.34
E3	C015	7	12.35
E3	C001	8	14.2
E3	C002	8	13.85
E3	C003	8	13.53
E3	C004	8	12.73
E3	C005	8	13.37
E3	C006	8	13.31
E3	C007	8	13.15
E3	C008	8	11.36
E3	C009	8	10.82
E3	C010	8	8.28
E3	C011	8	13.15
E3	C012	8	8.53
E3	C013	8	11.94
E3	C014	8	12.89
E3	C015	8	13.43
E3	C001	9	8.75
E3	C002	9	12.41
E3	C003	9	14.32
E3	C004	9	10.03
E3	C005	9	16.52
E3	C006	9	8.59
E3	C007	9	13.05
E3	C008	9	NA
E3	C009	9	12.22
E3	C010	9	13.62
E3	C011	9	13.31
E3	C012	9	13.4
E3	C013	9	10.5
E3	C014	9	13.11
E3	C015	9	7.7
E3	C001	10	13.37
E3	C002	10	13.27
E3	C003	10	12.16
E3	C004	10	14.32
E3	C005	10	9.29
E3	C006	10	13.31
E3	C007	10	11.62
E3	C008	10	7.96
E3	C009	10	14.87
E3	C010	10	NA
E3	C011	10	13.75
E3	C012	10	12.54
E3	C013	10	12.19
E3	C014	10	9.96
E3	C015	10	12.57
E4	C001	1	12.3
E4	C002	1	16.07
E4	C003	1	16.81
E4	C004	1	16.52
E4	C005	1	7.73
E4	C006	1	13.2
E4	C007	1	14.74
E4	C008	1	12.25
E4	C009	1	14.1
E4	C010	1	15.15
E4	C011	1	16.3
E4	C012	1	12.86
E4	C013	1	11.1
E4	C014	1	11.3
E4	C015	1	NA
E4	C001	2	NA
E4	C002	2	15.6
E4	C003	2	17.83
E4	C004	2	15.15
E4	C005	2	16.77
E4	C006	2	9.3
E4	C007	2	11.14
E4	C008	2	10.35
E4	C009	2	NA
E4	C010	2	NA
E4	C011	2	19.1
E4	C012	2	NA
E4	C013	2	NA
E4	C014	2	12.1
E4	C015	2	NA
E4	C001	3	12.8
E4	C002	3	15.02
E4	C003	3	18.62
E4	C004	3	11.14
E4	C005	3	18.37
E4	C006	3	8
E4	C007	3	15.5
E4	C008	3	NA
E4	C009	3	15.34
E4	C010	3	15.37
E4	C011	3	12.96
E4	C012	3	NA
E4	C013	3	9.9
E4	C014	3	15.28
E4	C015	3	13.8
E4	C001	4	9.9
E4	C002	4	15.47
E4	C003	4	16.74
E4	C004	4	NA
E4	C005	4	16.46
E4	C006	4	5.5
E4	C007	4	NA
E4	C008	4	12.19
E4	C009	4	17.83
E4	C010	4	14.01
E4	C011	4	NA
E4	C012	4	17.83
E4	C013	4	16.9
E4	C014	4	14.64
E4	C015	4	12.6
E4	C001	5	6.5
E4	C002	5	15.12
E4	C003	5	NA
E4	C004	5	16.23
E4	C005	5	17.35
E4	C006	5	11.9
E4	C007	5	15.34
E4	C008	5	12.73
E4	C009	5	7.96
E4	C010	5	15.6
E4	C011	5	NA
E4	C012	5	9.1
E4	C013	5	13.9
E4	C014	5	16.65
E4	C015	5	NA
E4	C001	6	12.5
E4	C002	6	16.01
E4	C003	6	18.33
E4	C004	6	NA
E4	C005	6	16.11
E4	C006	6	9.1
E4	C007	6	17.63
E4	C008	6	13.27
E4	C009	6	17.41
E4	C010	6	NA
E4	C011	6	NA
E4	C012	6	16.55
E4	C013	6	NA
E4	C014	6	13.31
E4	C015	6	13.5
E4	C001	7	7
E4	C002	7	14.8
E4	C003	7	15.63
E4	C004	7	NA
E4	C005	7	14.13
E4	C006	7	12.9
E4	C007	7	13.37
E4	C008	7	NA
E4	C009	7	16.87
E4	C010	7	NA
E4	C011	7	NA
E4	C012	7	14.07
E4	C013	7	13.4
E4	C014	7	15.44
E4	C015	7	15.3
E4	C001	8	12.4
E4	C002	8	14.77
E4	C003	8	NA
E4	C004	8	NA
E4	C005	8	13.21
E4	C006	8	11.6
E4	C007	8	12.29
E4	C008	8	9.49
E4	C009	8	NA
E4	C010	8	16.46
E4	C011	8	NA
E4	C012	8	14.71
E4	C013	8	14.1
E4	C014	8	16.74
E4	C015	8	9.4
E4	C001	9	14
E4	C002	9	NA
E4	C003	9	17.13
E4	C004	9	15.82
E4	C005	9	NA
E4	C006	9	NA
E4	C007	9	NA
E4	C008	9	14.01
E4	C009	9	13.69
E4	C010	9	16.11
E4	C011	9	NA
E4	C012	9	12.41
E4	C013	9	NA
E4	C014	9	13.75
E4	C015	9	13.7
E4	C001	10	11.5
E4	C002	10	11.78
E4	C003	10	NA
E4	C004	10	14.96
E4	C005	10	NA
E4	C006	10	9.9
E4	C007	10	9.42
E4	C008	10	NA
E4	C009	10	NA
E4	C010	10	17.32
E4	C011	10	NA
E4	C012	10	NA
E4	C013	10	13.3
E4	C014	10	16.39
E4	C015	10	NA
